Unnamed: 0,ID,Price,Levy,MakeModel,Prod_year,Category,Leather_interior,Fuel_type,Engine_volume,Turbo,Mileage,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags
16386,45802117,16766,1024,0.10062276373644816,2010,Universal,Yes,Diesel,2.5,,213696,4,Automatic,Front,4-5,Left wheel,Grey,4
16387,45767403,29793,1053,0.03382885241499681,2014,Sedan,Yes,Diesel,3.5,,219030,6,Automatic,Front-Rear,4-5,Left wheel,Black,12
16388,45306131,12544,0,0.041989729131003926,2007,Hatchback,Yes,Petrol,1.7,,221700,4,Tiptronic,Front,4-5,Left wheel,White,12
16389,45794640,20071,502,0.03832947336622697,2013,Sedan,No,Hybrid,1.5,,77000,4,Variator,Front,4-5,Left wheel,Black,10
16390,45621377,13485,779,0.03668247574933709,2013,Sedan,Yes,Petrol,2.5,,110000,4,Tiptronic,Front,4-5,Left wheel,Golden,6
16391,45786418,18189,777,0.044248279797267816,2014,Jeep,No,Petrol,2.5,,136000,4,Tiptronic,Front,4-5,Left wheel,Grey,6
16392,45789097,13172,0,0.0371058973584399,2011,Hatchback,No,Hybrid,1.3,,165000,4,Variator,Front,4-5,Right-hand drive,Blue,4
16393,45773227,17876,0,0.053920484677608835,2011,Sedan,No,Petrol,1.8,,62000,4,Automatic,Front,4-5,Left wheel,Grey,10
16394,45784727,19757,0,0.03825428791998121,2003,Jeep,Yes,Diesel,5.0,Turbo,170000,10,Automatic,Rear,4-5,Left wheel,Grey,6
16395,45649658,13328,1399,0.03571006612291478,2010,Jeep,Yes,Hybrid,3.5,,186005,6,Automatic,Front-Rear,4-5,Left wheel,Silver,12
16396,45797524,40688,1091,0.10062276373644816,2016,Universal,Yes,Diesel,2.5,,97640,4,Automatic,Front,4-5,Left wheel,Silver,4
16397,45041479,47042,0,0.14771983351794046,2007,Sedan,Yes,Petrol,5.5,,185000,8,Tiptronic,Front-Rear,4-5,Left wheel,Black,8
16398,45292942,26971,382,0.07760547779679791,2015,Sedan,Yes,Hybrid,2.0,,81000,4,Variator,Front,4-5,Left wheel,Grey,4
16399,45792416,20385,1185,0.06830799181015675,2009,Microbus,No,Diesel,2.5,,240000,4,Manual,Rear,4-5,Left wheel,White,2
16400,45726865,3136,781,0.04214745074346323,2012,Sedan,Yes,Petrol,2.5,,277906,4,Automatic,Front,4-5,Left wheel,Grey,12
16401,45801563,11704,687,0.053920484677608835,2010,Sedan,Yes,Petrol,1.6,,180093,4,Automatic,Front,4-5,Left wheel,Black,4
16402,45809202,39085,833,0.05947266136340751,2015,Jeep,Yes,Diesel,2.2,,95303,4,Automatic,Front,4-5,Left wheel,Brown,4
16403,45801696,9408,0,0.02620078541939382,2001,Sedan,No,Petrol,2.2,,111111,6,Manual,Rear,4-5,Left wheel,Silver,6
16404,45651671,706,751,0.04842533481019032,2013,Sedan,Yes,Hybrid,2.4,,0,4,Automatic,Front,4-5,Left wheel,White,0
16405,45505041,9722,1267,0.056752055852045784,2013,Hatchback,No,Hybrid,1.5,,146000,4,Automatic,Front,4-5,Right-hand drive,Blue,4
16406,43886580,5500,0,0.022985030040613568,2007,Goods wagon,No,Diesel,1.9,,1000,4,Manual,Front,4-5,Left wheel,Silver,6
16407,45732819,12880,836,0.04842533481019032,2010,Sedan,Yes,Petrol,2.0,,173177,4,Automatic,Front,4-5,Left wheel,White,4
16408,45801399,6800,0,0.022985030040613568,2003,Hatchback,No,Petrol,1.2,,234221,4,Manual,Front,4-5,Left wheel,Silver,4
16409,45804645,28225,777,0.07789447185580504,2014,Jeep,Yes,Petrol,2.5,,180275,4,Automatic,Front-Rear,4-5,Left wheel,White,0
16410,45083051,14426,0,0.03549229684825294,2011,Hatchback,No,Petrol,2.0,,173000,4,Variator,Front,4-5,Left wheel,Grey,6
16411,45758727,6586,0,0.0371058973584399,2003,Hatchback,No,Petrol,1.3,,229000,4,Variator,Front,4-5,Right-hand drive,Silver,4
16412,45797614,29636,1249,0.10062276373644816,2017,Minivan,Yes,Diesel,2.5,,32578,4,Automatic,Front,4-5,Left wheel,Silver,4
16413,45816153,3293,1076,0.053920484677608835,2020,Sedan,Yes,Petrol,2.0,,261,4,Automatic,Front,4-5,Left wheel,Black,12
16414,45809580,25089,595,0.056752055852045784,2015,Hatchback,Yes,Petrol,1.5,,68000,4,Automatic,Front,4-5,Left wheel,Black,4
16415,45631368,392,919,0.05886698217702145,2012,Jeep,Yes,Diesel,3.0,,296395,6,Automatic,Front-Rear,4-5,Left wheel,Grey,0
16416,43558210,13900,474,0.03668247574933709,2013,Sedan,Yes,Hybrid,1.4,Turbo,125000,4,Automatic,Front,4-5,Left wheel,Grey,12
16417,45767589,22894,779,0.04214745074346323,2013,Sedan,Yes,Petrol,2.5,,160000,4,Automatic,Front,4-5,Left wheel,Grey,12
16418,45781985,50178,0,0.12760309468667136,2016,Coupe,No,Petrol,3.7,,56000,6,Tiptronic,Rear,2-3,Left wheel,Black,6
16419,45798513,47042,0,0.11146578055247877,2008,Jeep,Yes,LPG,6.2,,288000,8,Tiptronic,Rear,4-5,Left wheel,Black,12
16420,45808453,16308,1079,0.012987480280602827,2018,Sedan,Yes,Petrol,2.0,,56288,4,Automatic,Rear,4-5,Left wheel,Silver,12
16421,45811413,706,1058,0.04214745074346323,2012,Sedan,Yes,Petrol,3.5,,132165,6,Automatic,Front,4-5,Left wheel,Grey,12
16422,45794228,14113,0,0.05886698217702145,2002,Jeep,Yes,Petrol,4.4,,180000,8,Tiptronic,Front-Rear,4-5,Left wheel,Black,0
16423,45714272,7524,0,0.02584456080287316,2001,Jeep,No,Petrol,2.0,,130933,4,Manual,Front-Rear,4-5,Left wheel,Silver,4
16424,45432629,30107,308,0.03082207229886215,2014,Hatchback,Yes,Hybrid,1.8,,114000,4,Variator,Front,4-5,Left wheel,Brown,10
16425,45810202,17923,707,0.06163384016379687,2011,Sedan,Yes,Petrol,2.0,,149790,4,Automatic,Front,4-5,Left wheel,Black,4
16426,45475757,4077,1680,0.022985030040613568,2001,Hatchback,No,Diesel,2.0,,170000,4,Manual,Front,4-5,Left wheel,Silver,7
16427,45811205,83107,1714,0.10932786224952169,2017,Jeep,Yes,Petrol,3.5,,13500,6,Tiptronic,Front-Rear,4-5,Left wheel,Black,12
16428,45799878,45160,345,0.09909710334642366,2016,Hatchback,Yes,Plug-in Hybrid,1.5,,80000,4,Variator,Front,4-5,Left wheel,Black,8
16429,45761488,17700,697,0.03668247574933709,2015,Sedan,Yes,Petrol,1.8,Turbo,102780,4,Tiptronic,Front,4-5,Left wheel,Grey,12
16430,45809634,28532,501,0.0371058973584399,2014,Hatchback,Yes,Petrol,1.5,,77200,4,Automatic,Front,4-5,Left wheel,Black,4
16431,45771888,12388,1399,0.03382885241499681,2010,Sedan,Yes,Diesel,3.5,,189530,6,Automatic,Front-Rear,4-5,Left wheel,Black,12
16432,45769791,73071,1646,0.08998298257980063,2015,Jeep,Yes,Petrol,4.6,,188078,8,Automatic,Front-Rear,4-5,Left wheel,Black,0
16433,45807491,19130,1714,0.10932786224952169,2017,Jeep,Yes,Petrol,3.5,,75914,6,Automatic,Front-Rear,4-5,Left wheel,Silver,12
16434,44954818,11290,0,0.04618148558386198,2000,Microbus,No,Diesel,2.5,Turbo,111000,5,Manual,Rear,4-5,Left wheel,Blue,2
16435,45794807,13172,1185,0.02749374014030141,2009,Jeep,Yes,Hybrid,2.5,,205000,4,Tiptronic,Front-Rear,4-5,Left wheel,Green,8
16436,45470139,20385,0,0.04215909777464505,2012,Jeep,No,Petrol,3.7,,170000,6,Automatic,Front-Rear,4-5,Left wheel,Grey,5
16437,45695743,20385,753,0.05250078877588695,2012,Sedan,Yes,Hybrid,2.4,,97000,4,Tiptronic,Front,4-5,Left wheel,Black,12
16438,44763530,31361,0,0.10514886047058034,2010,Sedan,Yes,Petrol,3.0,Turbo,175000,6,Tiptronic,Rear,4-5,Left wheel,Blue,6
16439,45801650,19416,531,0.053920484677608835,2012,Sedan,Yes,Petrol,1.6,,79534,4,Automatic,Front,4-5,Left wheel,Grey,4
16440,44586694,6000,0,0.02002483804920619,2004,Sedan,Yes,Petrol,3.8,,135000,6,Tiptronic,Front,4-5,Left wheel,Silver,12
16441,45810578,16894,642,0.07134088544288927,2012,Jeep,Yes,Diesel,2.0,,155329,4,Automatic,Front,4-5,Left wheel,Silver,4
16442,45728640,39458,640,0.10878343906286711,2013,Jeep,Yes,Diesel,2.0,,84000,4,Automatic,Front,4-5,Left wheel,White,4
16443,45790002,7119,1282,0.04917232235760078,2007,Jeep,Yes,Diesel,2.0,,74666,4,Automatic,Front,4-5,Left wheel,Silver,4
16444,45654706,20071,1292,0.10932786224952169,2016,Jeep,Yes,Petrol,3.0,,62938,6,Automatic,Front-Rear,4-5,Left wheel,Black,0
16445,45694943,8147,1236,0.02723122881213708,2011,Hatchback,No,Hybrid,1.3,,133000,4,Tiptronic,Front,4-5,Right-hand drive,Silver,4
16446,45804798,25,0,0.07789447185580504,2012,Jeep,Yes,Diesel,2.2,Turbo,120000,4,Manual,Front-Rear,4-5,Left wheel,White,13
16447,45770143,706,1646,0.08998298257980063,2015,Jeep,Yes,Petrol,4.6,,102907,8,Automatic,Front-Rear,4-5,Left wheel,Black,0
16448,45757612,392,585,0.1007622931561105,2013,Sedan,Yes,Petrol,1.8,,162520,4,Automatic,Front,4-5,Left wheel,Black,12
16449,45732837,11290,891,0.04842533481019032,2016,Sedan,Yes,LPG,2.0,,270874,4,Automatic,Front,4-5,Left wheel,Silver,4
16450,45808644,4861,697,0.03213701204981036,2015,Sedan,Yes,Petrol,1.8,,152630,4,Automatic,Front,4-5,Left wheel,White,12
16451,45758161,862,1024,0.02749374014030141,2010,Jeep,Yes,Hybrid,2.5,,174926,4,Automatic,Front,4-5,Left wheel,Grey,0
16452,36987589,9408,1268,0.056752055852045784,2012,Hatchback,No,Petrol,1.5,,111000,4,Automatic,Front,4-5,Right-hand drive,Black,6
16453,45732765,16599,707,0.04842533481019032,2011,Sedan,Yes,Petrol,2.0,,179352,4,Automatic,Front,4-5,Left wheel,Black,4
16454,45646570,1725,1514,0.09308760447084886,2011,Jeep,Yes,Petrol,4.6,,217485,8,Automatic,Front-Rear,4-5,Left wheel,Silver,12
16455,45720276,15681,1055,0.03382885241499681,2013,Sedan,Yes,Petrol,3.5,Turbo,140800,6,Automatic,Front-Rear,4-5,Left wheel,Black,0
16456,44630354,13799,0,0.04946863357164435,2004,Jeep,Yes,CNG,3.3,,200000,6,Automatic,Front-Rear,4-5,Left wheel,Grey,2
16457,45732701,13172,891,0.04842533481019032,2016,Sedan,Yes,LPG,2.0,,478704,4,Automatic,Front,4-5,Left wheel,Orange,4
16458,45730028,25889,639,0.053920484677608835,2014,Coupe,Yes,Petrol,2.0,,50478,4,Automatic,Front,4-5,Left wheel,White,4
16459,45213616,20385,738,0.03935380794146276,2017,Sedan,No,Petrol,1.4,,64000,4,Tiptronic,Front,4-5,Left wheel,White,12
16460,45809209,17663,503,0.056752055852045784,2012,Hatchback,Yes,Hybrid,1.5,,58405,4,Automatic,Front,4-5,Left wheel,Silver,4
16461,45810519,23828,642,0.07134088544288927,2012,Jeep,Yes,Diesel,2.0,,110776,4,Automatic,Front,4-5,Left wheel,White,4
16462,45730437,32045,640,0.10878343906286711,2013,Jeep,Yes,Diesel,2.0,,166016,4,Automatic,Front,4-5,Left wheel,Grey,4
16463,45813943,470,1273,0.04954694055650656,2015,Jeep,Yes,Petrol,3.5,,61648,6,Automatic,Rear,4-5,Left wheel,Black,12
16464,45762985,15681,0,0.0605448259658309,2002,Jeep,Yes,Petrol,5.0,,200000,8,Tiptronic,Front-Rear,4-5,Left wheel,Black,12
16465,44077400,16151,0,0.05409659987245326,2012,Coupe,No,Petrol,1.8,,95000,4,Tiptronic,Front,2-3,Left wheel,Black,6
16466,45783479,12544,0,0.07789447185580504,2001,Jeep,Yes,Petrol,2.0,,169000,4,Automatic,Front-Rear,4-5,Left wheel,Black,0
16467,45759169,14113,638,0.05250078877588695,2014,Sedan,Yes,Petrol,2.0,,71104,4,Automatic,Front,4-5,Left wheel,White,4
16468,45730527,43576,730,0.11171469808344243,2016,Jeep,Yes,Diesel,1.6,,53873,4,Automatic,Front,4-5,Left wheel,Red,4
16469,45654467,13328,1399,0.03571006612291478,2010,Jeep,Yes,Hybrid,3.5,,186005,6,Automatic,Front-Rear,4-5,Left wheel,Silver,12
16470,45784205,17249,353,0.03832947336622697,2015,Hatchback,No,Hybrid,1.8,,166400,4,Variator,Front,4-5,Left wheel,Blue,12
16471,45798235,10976,0,0.03007776994596046,2007,Sedan,No,LPG,2.0,,210000,4,Tiptronic,Front-Rear,4-5,Right-hand drive,Beige,2
16472,42809468,8154,0,0.0371058973584399,2005,Hatchback,No,Petrol,1.3,,117000,4,Automatic,Front,4-5,Right-hand drive,Silver,4
16473,45748854,23521,0,0.07354133521296949,2006,Goods wagon,No,Diesel,2.2,Turbo,193102,4,Manual,Rear,4-5,Left wheel,White,2
16474,45808976,12187,531,0.0474833350115799,2012,Hatchback,Yes,Petrol,1.6,,65642,4,Automatic,Front,4-5,Left wheel,Blue,4
16475,45761794,14740,586,0.03652898331822911,2012,Goods wagon,No,Diesel,1.8,Turbo,147000,4,Manual,Front,2-3,Left wheel,Blue,4
16476,45759429,251,753,0.04842533481019032,2012,Sedan,Yes,Hybrid,2.4,,259184,4,Automatic,Front,4-5,Left wheel,Silver,0
16477,45809308,25456,639,0.05947266136340751,2014,Jeep,Yes,Diesel,2.0,,160087,4,Automatic,Front,4-5,Left wheel,Grey,4
16478,45647870,22894,1273,0.04954694055650656,2015,Jeep,Yes,Diesel,3.5,,79080,6,Automatic,Front-Rear,4-5,Left wheel,Grey,12
16479,45774327,21953,1079,0.048645655019635484,2018,Universal,Yes,Petrol,2.0,,30400,4,Variator,Front-Rear,4-5,Left wheel,Orange,10
16480,45732950,9252,765,0.04842533481019032,2015,Sedan,Yes,LPG,2.0,,587949,4,Automatic,Front,4-5,Left wheel,Orange,4
16481,45808880,78048,1011,0.2047917967307757,2016,Jeep,Yes,Petrol,2.3,,99742,4,Automatic,Front,4-5,Left wheel,White,4
16482,45772408,30734,1053,0.03382885241499681,2014,Sedan,Yes,Diesel,3.5,,200179,6,Automatic,Front-Rear,4-5,Left wheel,Black,12
16483,45802850,87927,1076,0.13339287752156545,2020,Jeep,Yes,Petrol,2.0,,5900,4,Automatic,Front,4-5,Left wheel,Grey,4
16484,45758089,5018,1646,0.08998298257980063,2015,Jeep,Yes,Petrol,4.6,,188078,8,Automatic,Front-Rear,4-5,Left wheel,Black,0
16485,45726893,22621,707,0.07535786929815728,2011,Jeep,Yes,Diesel,2.0,,120005,4,Automatic,Front,4-5,Left wheel,Black,4
16486,45809184,49174,891,0.05947266136340751,2016,Jeep,Yes,Diesel,2.0,,48774,4,Automatic,Front,4-5,Left wheel,Black,4
16487,45772894,7213,0,0.03472993656227973,2001,Goods wagon,No,Diesel,1.7,Turbo,242701,16,Manual,Front,2-3,Left wheel,Blue,2
16488,45268566,32929,0,0.04214745074346323,2015,Sedan,Yes,Hybrid,2.5,,40000,4,Variator,Front,4-5,Left wheel,Silver,12
16489,45797953,17158,531,0.053920484677608835,2012,Sedan,Yes,Petrol,1.6,,146816,4,Automatic,Front,4-5,Left wheel,White,4
16490,45797319,23436,777,0.10062276373644816,2014,Minivan,Yes,Diesel,2.5,,173490,4,Automatic,Front,4-5,Left wheel,Black,4
16491,45802142,16480,1024,0.10062276373644816,2010,Universal,Yes,Diesel,2.5,,328034,4,Automatic,Front,4-5,Left wheel,Blue,4
16492,44457443,12388,0,0.0371058973584399,2012,Hatchback,No,Hybrid,1.3,,95000,4,Automatic,Front,4-5,Right-hand drive,Black,8
16493,45779138,17562,862,0.044248279797267816,2011,Jeep,Yes,Petrol,2.5,,155000,4,Automatic,Front,4-5,Left wheel,Red,16
16494,45761106,188,382,0.05250078877588695,2014,Sedan,Yes,Hybrid,2.4,,172149,4,Automatic,Front,4-5,Left wheel,White,12
16495,45655298,314,707,0.06869294800792132,2011,Jeep,Yes,Petrol,2.0,,287021,4,Automatic,Front-Rear,4-5,Left wheel,Black,0
16496,45816317,21639,0,0.07251703420266506,2008,Sedan,Yes,Petrol,4.6,,161000,8,Automatic,Front,4-5,Left wheel,White,10
16497,45780373,33556,1211,0.05886698217702145,2010,Jeep,Yes,Diesel,3.0,Turbo,143000,6,Tiptronic,Front-Rear,4-5,Left wheel,Brown,8
16498,45806859,18503,584,0.053920484677608835,2014,Sedan,No,Petrol,1.8,,48000,4,Tiptronic,Front,4-5,Left wheel,Silver,12
16499,45759683,17876,0,0.05886698217702145,2003,Jeep,Yes,Diesel,3.0,Turbo,180000,6,Tiptronic,Front-Rear,4-5,Left wheel,Black,3
16500,45788655,6586,0,0.02166136340751183,2006,Hatchback,No,CNG,1.5,,1000,4,Variator,Front,4-5,Left wheel,Silver,2
16501,45760168,2430,2151,0.07217420199375693,2009,Jeep,Yes,Petrol,4.7,,264339,8,Automatic,Front-Rear,4-5,Left wheel,Black,0
16502,45769888,12388,1399,0.03382885241499681,2010,Sedan,Yes,Diesel,3.5,,189530,6,Automatic,Front-Rear,4-5,Left wheel,Black,12
16503,45803294,16894,836,0.04842533481019032,2010,Sedan,Yes,Petrol,2.0,,172253,4,Automatic,Front,4-5,Left wheel,Grey,4
16504,45815108,5000,0,0.04618148558386198,1990,Microbus,No,Diesel,2.5,,10000,4,Manual,Rear,2-3,Left wheel,White,0
16505,45781797,10976,0,0.032068673849561975,2004,Jeep,No,Petrol,2.0,Turbo,150000,4,Tiptronic,Front-Rear,4-5,Right-hand drive,Black,4
16506,45455842,17876,781,0.04214745074346323,2012,Sedan,Yes,Hybrid,2.5,,90000,4,Tiptronic,Front,4-5,Left wheel,Black,8
16507,45700586,6586,706,0.022517034202665057,2011,Hatchback,No,Petrol,0.7,,0,3,Variator,Front,4-5,Right-hand drive,Golden,2
16508,45647522,11133,394,0.04214745074346323,2014,Sedan,Yes,Hybrid,2.5,,179381,4,Automatic,Front,4-5,Left wheel,Black,12
16509,45731532,43952,1249,0.10062276373644816,2017,Universal,Yes,Diesel,2.5,,111643,4,Automatic,Front,4-5,Left wheel,Grey,4
16510,45451680,90,0,0.019891920921021714,2007,Minivan,No,LPG,2.0,,180000,4,Automatic,Front-Rear,4-5,Right-hand drive,Black,2
16511,45664377,157,919,0.05886698217702145,2012,Jeep,Yes,Diesel,3.0,,296395,6,Automatic,Front-Rear,4-5,Left wheel,Grey,0
16512,45801872,5645,0,0.03121599033329977,2004,Minivan,No,Petrol,2.0,,160000,4,Automatic,Front,4-5,Left wheel,White,4
16513,45144010,20385,0,0.06830799181015675,2013,Sedan,No,Hybrid,2.4,,105000,6,Tiptronic,Front,4-5,Left wheel,White,6
16514,45801665,2822,1202,0.015974826301480213,2001,Hatchback,No,Petrol,1.4,,135000,4,Manual,Front,2-3,Left wheel,Red,4
16515,45804817,30712,877,0.10083888832947337,2017,Jeep,Yes,Diesel,1.7,,50380,4,Automatic,Front,4-5,Left wheel,White,4
16516,44537627,20,0,0.02410052696942235,2005,Hatchback,Yes,Petrol,1.5,,146000,4,Automatic,Front,4-5,Right-hand drive,Black,7
16517,45760296,314,915,0.06367911925620112,2014,Jeep,Yes,Diesel,3.0,,164011,6,Automatic,Rear,4-5,Left wheel,Blue,0
16518,45731047,37580,1091,0.10062276373644816,2016,Universal,Yes,Diesel,2.5,,145830,4,Automatic,Front,4-5,Left wheel,White,4
16519,45649425,87999,1714,0.10932786224952169,2017,Jeep,Yes,Petrol,3.5,,40000,6,Tiptronic,Front-Rear,4-5,Left wheel,Grey,12
16520,45789461,7683,0,0.05370154063034941,1997,Sedan,No,Petrol,2.0,,415386,4,Manual,Rear,4-5,Left wheel,Silver,4
16521,45798144,9747,790,0.053920484677608835,2009,Sedan,Yes,Diesel,1.6,,179740,4,Automatic,Front,4-5,Left wheel,Silver,4
16522,45730160,40092,730,0.11171469808344243,2016,Jeep,Yes,Petrol,1.6,,55234,4,Automatic,Front,4-5,Left wheel,White,4
16523,45588073,11604,843,0.03832947336622697,2008,Sedan,No,Hybrid,1.5,,149000,4,Tiptronic,Front,4-5,Left wheel,White,8
16524,45570728,17249,0,0.04618148558386198,1998,Microbus,No,Diesel,2.5,Turbo,300000,4,Manual,Rear,4-5,Left wheel,White,4
16525,45813886,89379,2225,0.10255962810056053,2017,Sedan,Yes,Petrol,4.6,,15358,8,Automatic,Rear,4-5,Left wheel,Black,12
16526,45719329,10036,585,0.06497388648340213,2013,Sedan,Yes,Petrol,1.8,Turbo,62022,4,Tiptronic,Front,4-5,Left wheel,Blue,10
16527,45809481,13764,503,0.056752055852045784,2012,Hatchback,Yes,Petrol,1.5,,116453,4,Automatic,Front,4-5,Left wheel,Yellow,4
16528,45807121,11290,1714,0.10932786224952169,2017,Jeep,Yes,Petrol,3.5,,52675,6,Automatic,Rear,4-5,Left wheel,Blue,12
16529,45815365,7213,0,0.024096264223139662,2003,Hatchback,No,CNG,1.4,,185000,4,Manual,Front,4-5,Left wheel,Blue,4
16530,45770860,22580,0,0.078833350115799,2014,Sedan,Yes,Petrol,2.5,,193600,4,Tiptronic,Front,4-5,Left wheel,Red,8
16531,45809823,11412,645,0.03935380794146276,2011,Sedan,Yes,Petrol,1.8,,107271,4,Automatic,Front,4-5,Left wheel,Grey,4
16532,45732736,10036,639,0.04842533481019032,2014,Sedan,Yes,LPG,2.0,,404507,4,Automatic,Front,4-5,Left wheel,Silver,4
16533,45803708,27435,640,0.10083888832947337,2013,Jeep,Yes,Diesel,2.0,,167157,4,Automatic,Front,4-5,Left wheel,Grey,4
16534,44586118,67426,1885,0.17080633034605444,2010,Sedan,Yes,Petrol,4.8,,88939,8,Tiptronic,Front-Rear,4-5,Left wheel,Grey,12
16535,45805986,6895,1032,0.024601013660927065,2012,Hatchback,No,Petrol,1.2,,60936,4,Variator,Front,4-5,Right-hand drive,Carnelian red,2
16536,45781554,25402,777,0.04214745074346323,2014,Sedan,Yes,Petrol,2.5,,92800,6,Tiptronic,Front,4-5,Left wheel,White,10
16537,44804614,18503,777,0.044248279797267816,2014,Jeep,No,Petrol,2.5,,135700,4,Tiptronic,Front,4-5,Left wheel,Grey,6
16538,45789668,54882,0,0.08165528815493572,2007,Microbus,Yes,Diesel,2.7,Turbo,145000,5,Manual,Rear,4-5,Left wheel,White,2
16539,45809162,12184,446,0.0371058973584399,2014,Hatchback,Yes,Petrol,1.3,,117811,4,Automatic,Front,4-5,Left wheel,Blue,4
